"","candidate_name","division_name","division_id","incumbent","year","state","candidate_party","vote_count","fp_vote_share","swing","last_name"
"201","John Wright","LOWE",0,0,1998,"NSW","ON","2,768",3.7,NA,"WRIGHT"
"202","John Murphy","LOWE",0,0,1998,"NSW","ALP","26,730",36,"  (-03.1)","MURPHY"
"203","Owen Davies","LOWE",0,0,1998,"NSW","CDP",NA,0.8,"  (-00.2)","DAVIES"
"204","Chris Wong","LOWE",0,0,1998,"NSW","Unity","2,813",3.8,NA,"WONG"
"205","Giancarlo Maisano","LOWE",0,0,1998,"NSW",NA,NA,0.4,NA,"MAISANO"
"206","Terrence Simms","LYNE",27,0,1998,"NSW",NA,NA,1.3,NA,"SIMMS"
"207","Carrie Jacobi","LYNE",0,0,1998,"NSW","Grn","1,501",2,"  (-01.3)","JACOBI"
"208","Vicki Grieves","LYNE",0,0,1998,"NSW","ALP","22,456",29.5,"  (+00.5)","GRIEVES"
"209","Graeme Muldoon","LYNE",0,0,1998,"NSW",NA,NA,0.3,NA,"MULDOON"
"210","Ray Danton","LYNE",0,0,1998,"NSW","ON","9,011",11.8,NA,"DANTON"
"211","Hon Mark VAILE","LYNE",0,1,1998,"NSW","NPA","38,812",51,"  (-07.8)","VAILE"
"212","Allan Quartly","LYNE",0,0,1998,"NSW","AD","1,974",2.6,"  (-01.9)","QUARTLY"
"213","Barry Watts","LYNE",0,0,1998,"NSW","CDP","1,166",1.5,NA,"WATTS"
"214","Hon John Fahey","MACARTHUR",28,1,1998,"NSW","Lib","40,395",47.7,"  (-05.6)","FAHEY"
"215","Michael Banasik","MACARTHUR",0,0,1998,"NSW","ALP","28,495",33.7,"  (+01.7)","BANASIK"
"216","Michelle Wood","MACARTHUR",0,0,1998,"NSW","Grn","2,692",3.2,"  (+00.4)","WOOD"
"217","Damian Alm","MACARTHUR",0,0,1998,"NSW","ON","9,246",10.9,NA,"ALM"
"218","Anthony Kaufmann","MACARTHUR",0,0,1998,"NSW","AD","3,761",4.4,"  (-00.5)","KAUFMANN"
"219","Bob Ellis","MACKELLAR",29,0,1998,"NSW",NA,"4,729",6.3,NA,"ELLIS"
"220","Trevor Ockenden","MACKELLAR",0,0,1998,"NSW","Grn","2,500",3.4,"  (-01.0)","OCKENDEN"
"221","Stephen Doric","MACKELLAR",0,0,1998,"NSW",NA,NA,0.3,NA,"DORIC"
"222","Hon Bronwyn BISHOP","MACKELLAR",0,1,1998,"NSW","Lib","39,966",53.7,"  (-01.0)","BISHOP"
"223","Vicki Dimond","MACKELLAR",0,0,1998,"NSW","AD","7,104",9.5,"  (-01.4)","DIMOND"
"224","John Webeck","MACKELLAR",0,0,1998,"NSW","ON","5,355",7.2,NA,"WEBECK"
"225","Nick Lorentzen","MACKELLAR",0,0,1998,"NSW","ALP","14,605",19.6,"  (+00.1)","LORENTZEN"
"226","Shirley Grigg","MACQUARIE",30,0,1998,"NSW",NA,"1,510",2,NA,"GRIGG"
"227","Kerry Bartlett","MACQUARIE",0,1,1998,"NSW","Lib","32,432",42.7,"  (-05.4)","BARTLETT"
"228","Michael Penny","MACQUARIE",0,0,1998,"NSW",NA,NA,0.3,NA,"PENNY"
"229","Les Sheather","MACQUARIE",0,0,1998,"NSW","ON","7,870",10.4,NA,"SHEATHER"
"230","Maggie Deahm","MACQUARIE",0,0,1998,"NSW","ALP","26,391",34.8,"  (+01.1)","DEAHM"
"231","Adele Doust","MACQUARIE",0,0,1998,"NSW","Grn","2,563",3.4,"  (-00.4)","DOUST"
"232","Jon Rickard","MACQUARIE",0,0,1998,"NSW","AD","4,895",6.4,"  (-01.9)","RICKARD"
"233","Anthony Ellard","MITCHELL",31,0,1998,"NSW","ALP","16,263",21.3,"  (+02.1)","ELLARD"
"234","Ken Gregory","MITCHELL",0,0,1998,"NSW","CDP","1,235",1.6,NA,"GREGORY"
"235","Stephen Burke","MITCHELL",0,0,1998,"NSW","ON","5,090",6.6,NA,"BURKE"
"236","Cindy Taylor","MITCHELL",0,0,1998,"NSW","Grn","1,719",2.2,NA,"TAYLOR"
"237","Hon Alan CADMAN","MITCHELL",0,1,1998,"NSW","Lib","46,203",60.4,"  (-07.0)","CADMAN"
"238","Ilo Uzunoski","MITCHELL",0,0,1998,"NSW","Unity","1,988",2.6,NA,"UZUNOSKI"
"239","Helen McAuliffe","MITCHELL",0,0,1998,"NSW","AD","3,852",5,"  (-03.2)","MCAULIFFE"
"240","Michael Lyons","MITCHELL",0,0,1998,"NSW",NA,NA,0.2,NA,"LYONS"
"241","James Cronin","NEW ENGLAND",34,0,1998,"NSW","Grn","1,460",2.1,NA,"CRONIN"
"242","Graham Nuttall","NEW ENGLAND",0,0,1998,"NSW",NA,"6,202",9.1,NA,"NUTTALL"
"243","Peter Monley","NEW ENGLAND",0,0,1998,"NSW","Lib","11,261",16.4,NA,"MONLEY"
"244","Oriel Pearce","NEW ENGLAND",0,0,1998,"NSW","CDP","1,143",1.7,NA,"PEARCE"
"245","Frances Letters","NEW ENGLAND",0,0,1998,"NSW",NA,NA,0.2,NA,"LETTERS"
"246","David Morton","NEW ENGLAND",0,0,1998,"NSW",NA,NA,0.7,NA,"MORTON"
"247","Pat Dixon","NEW ENGLAND",0,0,1998,"NSW","ALP","15,733",23,"  (-01.9)","DIXON"
"248","Stuart ST-Clair","NEW ENGLAND",0,0,1998,"NSW","NPA","21,299",31.1,"  (-29.4)","ST-CLAIR"
"249","Rebekah Grindlay","NEW ENGLAND",0,0,1998,"NSW","AD","1,466",2.1,"  (-06.7)","GRINDLAY"
"250","Victor Wearne","NEW ENGLAND",0,0,1998,"NSW","ON","9,288",13.6,NA,"WEARNE"
"251","Geoff Payne","NEWCASTLE",32,0,1998,"NSW",NA,NA,NA,NA,"PAYNE"
"252","Clive Jensen","NEWCASTLE",0,0,1998,"NSW","Lib",NA,NA,NA,"JENSEN"
"253","Andrew Brown","NEWCASTLE",0,0,1998,"NSW",NA,NA,NA,NA,"BROWN"
"254","Kaye Westbury","NEWCASTLE",0,0,1998,"NSW","AD",NA,NA,NA,"WESTBURY"
"255","Liz Rene","NEWCASTLE",0,0,1998,"NSW","Grn",NA,NA,NA,"RENE"
"256","Kate Taylor","NEWCASTLE",0,0,1998,"NSW","ON",NA,NA,NA,"TAYLOR"
"257","Allan Morris","NEWCASTLE",0,1,1998,"NSW","ALP",NA,NA,NA,"MORRIS"
"258","Greg Bludworth","NEWCASTLE",0,0,1998,"NSW","CDP",NA,NA,NA,"BLUDWORTH"
"259","Harry Criticos","NEWCASTLE",0,0,1998,"NSW",NA,"2,718",4.2,NA,"CRITICOS"
"260","Carrie Jacobi","NEWCASTLE",0,0,1998,"NSW","Grn","5,965",9.4," (+01.0)","JACOBI"
"261","Allan Morris","NEWCASTLE",0,1,1998,"NSW","ALP","31,441",47.7," (-02.9)","MORRIS"
"262","Stephen Bisgrove","NEWCASTLE",0,0,1998,"NSW","AD","5,607",8.6," (-01.4)","BISGROVE"
"263","Geoff Payne","NEWCASTLE",0,0,1998,"NSW",NA,NA,1,NA,"PAYNE"
"264","Greg Budworth","NEWCASTLE",0,0,1998,"NSW","CDP","1,798",2.7,NA,"BUDWORTH"
"265","Harry Williams","NEWCASTLE",0,0,1998,"NSW",NA,"1,131",1.8,NA,"WILLIAMS"
"266","Kate Taylor","NEWCASTLE",0,0,1998,"NSW","ON","10,466",16.5,NA,"TAYLOR"
"267","Peter Boyd","NEWCASTLE",0,0,1998,"NSW",NA,NA,1.1,NA,"BOYD"
"268","Ivan Welsh","NEWCASTLE",0,0,1998,"NSW",NA,"4,398",6.6,NA,"WELSH"
"269","Tony King","NEWCASTLE",0,0,1998,"NSW",NA,NA,0.2,NA,"KING"
"270","Andrew Woodroffe","NORTH SYDNEY",35,0,1998,"NSW","Grn","3,106",3.9,"  (+00.1)","WOODROFFE"
"271","Henry Pong","NORTH SYDNEY",0,0,1998,"NSW","Unity","3,727",4.7,NA,"PONG"
"272","Roger Bourne","NORTH SYDNEY",0,0,1998,"NSW","CDP",NA,0.9,NA,"BOURNE"
"273","Glenn Russell","NORTH SYDNEY",0,0,1998,"NSW",NA,NA,0.2,NA,"RUSSELL"
"274","Joe HOCKEY","NORTH SYDNEY",0,1,1998,"NSW","Lib","42,887",54.3,"  (-03.0)","HOCKEY"
"275","John Hockley","NORTH SYDNEY",0,0,1998,"NSW","ON","2,270",2.9,NA,"HOCKLEY"
"276","Anthony Spain","NORTH SYDNEY",0,0,1998,"NSW","AD","5,726",7.2,"  (-02.7)","SPAIN"
"277","Julie Owens","NORTH SYDNEY",0,0,1998,"NSW","ALP","20,403",25.8,"  (+00.6)","OWENS"
"278","Hon Ian Causley","PAGE",36,1,1998,"NSW","NPA","31,313",41.8,"  (+05.1)","CAUSLEY"
"279","Warren Wenban","PAGE",0,0,1998,"NSW","ON","8,473",11.3,NA,"WENBAN"
"280","Kath O'Driscoll","PAGE",0,0,1998,"NSW",NA,NA,0.5,NA,"O'DRISCOLL"
"281","Graham Clausen","PAGE",0,0,1998,"NSW","CDP","1,133",1.5,"  (+00.1)","CLAUSEN"
"282","Nicole Rogers","PAGE",0,0,1998,"NSW","Grn","3,460",4.6,"  (+00.7)","ROGERS"
"283","Joy Mathews","PAGE",0,0,1998,"NSW","ALP","26,548",35.4,"  (-02.6)","MATHEWS"
"284","Peter Wrightson","PAGE",0,0,1998,"NSW","AD","2,162",2.9,"  (-00.4)","WRIGHTSON"
"285","Doug Behn","PAGE",0,0,1998,"NSW",NA,"1,498",2,NA,"BEHN"
"286","Robert Wilson","PARKES",37,0,1998,"NSW",NA,"8,657",11.8,NA,"WILSON"
"287","Tony Lawler","PARKES",0,0,1998,"NSW","NPA","20,791",28.4,"  (-22.8)","LAWLER"
"288","Scott MacDougall","PARKES",0,0,1998,"NSW","Lib","7,261",9.9,NA,"MACDOUGALL"
"289","Barry Brebner","PARKES",0,0,1998,"NSW","ALP","26,070",35.6,"  (-02.6)","BREBNER"
"290","David Burton","PARKES",0,0,1998,"NSW","AD","1,246",1.7,"  (-00.9)","BURTON"
"291","Don McNaught","PARKES",0,0,1998,"NSW","ON","9,230",12.6,NA,"MCNAUGHT"
"292","Ross Cameron","PARRAMATTA",38,1,1998,"NSW","Lib","31,060",43.6,"  (-04.0)","CAMERON"
"293","John Cogger","PARRAMATTA",0,0,1998,"NSW",NA,NA,0.1,NA,"COGGER"
"294","Matthew Wong","PARRAMATTA",0,0,1998,"NSW","Unity","3,073",4.3,NA,"WONG"
"295","Hon Paul Elliott","PARRAMATTA",0,0,1998,"NSW","ALP","27,521",38.7,"  (-00.8)","ELLIOTT"
"296","Peter Mulligan","PARRAMATTA",0,0,1998,"NSW","AD","2,033",2.9,"  (-02.6)","MULLIGAN"
"297","Tina Schembri","PARRAMATTA",0,0,1998,"NSW",NA,NA,1,NA,"SCHEMBRI"
"298","Peter Consandine","PARRAMATTA",0,0,1998,"NSW",NA,NA,0.1,NA,"CONSANDINE"
"299","Dee Jonsson","PARRAMATTA",0,0,1998,"NSW","CDP",NA,1.3,"  (-00.2)","JONSSON"
"300","Ian Hale","PARRAMATTA",0,0,1998,"NSW","ON","4,495",6.3,NA,"HALE"
"301","Peter Wright","PARRAMATTA",0,0,1998,"NSW","Grn","1,195",1.7,NA,"WRIGHT"
"302","Anthony King","PATERSON",39,0,1998,"NSW",NA,NA,0.9,NA,"KING"
"303","Andrew Buchan","PATERSON",0,0,1998,"NSW",NA,NA,0.6,NA,"BUCHAN"
"304","Bob Horne","PATERSON",0,0,1998,"NSW","ALP","33,066",43.1,"  (-00.2)","HORNE"
"305","Bob Baldwin","PATERSON",0,1,1998,"NSW","Lib","31,212",40.7,"  (-05.0)","BALDWIN"
"306","Michelle Moffat","PATERSON",0,0,1998,"NSW",NA,NA,0.8,NA,"MOFFAT"
"307","Jan Davis","PATERSON",0,0,1998,"NSW","Grn","1,577",2.1,"  (-01.5)","DAVIS"
"308","Geoffrey Rutledge","PATERSON",0,0,1998,"NSW","AD","1,467",1.9,"  (-03.1)","RUTLEDGE"
"309","Paul Fuller","PATERSON",0,0,1998,"NSW","ON","6,355",8.3,NA,"FULLER"
"310","Paul Unger","PATERSON",0,0,1998,"NSW",NA,NA,0.2,NA,"UNGER"
"311","Alison Dellit","PATERSON",0,0,1998,"NSW",NA,NA,0.2,NA,"DELLIT"
"312","David Murray","PATERSON",0,0,1998,"NSW","CDP",NA,1.2,"  (-01.3)","MURRAY"
"313","Manny Poularis","PROSPECT",40,0,1998,"NSW","AD","3,405",4.9,"  (-05.3)","POULARIS"
"314","John Hutchinson","PROSPECT",0,0,1998,"NSW","ON","5,199",7.5,NA,"HUTCHINSON"
"315","Nahid Aziz","PROSPECT",0,0,1998,"NSW","Lib","15,965",23,"  (-09.0)","AZIZ"
"316","Chris Harris","PROSPECT",0,0,1998,"NSW","Grn","1,074",1.5,NA,"HARRIS"
"317","Hon Janice CROSIO","PROSPECT",0,1,1998,"NSW","ALP","41,310",59.5,"  (+02.8)","CROSIO"
"318","Linda Cogger","PROSPECT",0,0,1998,"NSW",NA,NA,0.3,NA,"COGGER"
"319","Somchai Tongsumrith","PROSPECT",0,0,1998,"NSW","Unity","2,199",3.2,NA,"TONGSUMRITH"
"320","John Ananin","REID",41,0,1998,"NSW","CDP","2,544",3.6,NA,"ANANIN"
"321","David Poularis","REID",0,0,1998,"NSW","AD","2,052",2.9,"  (-04.1)","POULARIS"
"322","Jamie Thomson","REID",0,0,1998,"NSW","Grn","1,293",1.8,NA,"THOMSON"
"323","Laurie FERGUSON","REID",0,1,1998,"NSW","ALP","41,162",57.6,"  (+00.4)","FERGUSON"
"324","Shane O'Connor","REID",0,0,1998,"NSW","ON","4,477",6.3,NA,"O'CONNOR"
"325","Penny Tongsumrith","REID",0,0,1998,"NSW","Unity","4,045",5.7,NA,"TONGSUMRITH"
"326","Alma Freame","REID",0,0,1998,"NSW","Lib","15,637",21.9,"  (-12.7)","FREAME"
"327","Rupen Savoulian","REID",0,0,1998,"NSW",NA,NA,0.4,NA,"SAVOULIAN"
"328","Neville Newell","RICHMOND",42,0,1998,"NSW","ALP","31,129",38.3,"  (+03.7)","NEWELL"
"329","John Penhaligon","RICHMOND",0,0,1998,"NSW","ON","8,278",10.2,NA,"PENHALIGON"
"330","Leo Piek","RICHMOND",0,0,1998,"NSW",NA,NA,0.8,NA,"PIEK"
"331","Peter Cullen","RICHMOND",0,0,1998,"NSW","AD","2,305",2.8,"  (-02.6)","CULLEN"
"332","Alan DeVendra","RICHMOND",0,0,1998,"NSW",NA,"1,662",2,NA,"DEVENDRA"
"333","Larry Anthony","RICHMOND",0,1,1998,"NSW","NPA","32,645",40.2,"  (+04.7)","ANTHONY"
"334","Helen Patterson","RICHMOND",0,0,1998,"NSW",NA,NA,0.4,NA,"PATTERSON"
"335","Tom Tabart","RICHMOND",0,0,1998,"NSW","Grn","4,323",5.3,"  (-00.8)","TABART"
"336","David Kibbey","RIVERINA",43,0,1998,"NSW","Lib","15,942",21.4,NA,"KIBBEY"
"337","Rosemary Gillies","RIVERINA",0,0,1998,"NSW","AD","1,770",2.4,"  (-01.6)","GILLIES"
"338","Denis Collins","RIVERINA",0,0,1998,"NSW",NA,"1,218",1.6,NA,"COLLINS"
"339","David Barton","RIVERINA",0,0,1998,"NSW","ON","9,129",12.3,NA,"BARTON"
"340","Peter Hargreaves","RIVERINA",0,0,1998,"NSW","ALP","19,234",25.9,"  (-00.3)","HARGREAVES"
"341","Kay Hull","RIVERINA",0,0,1998,"NSW","NPA","27,060",36.4,"  (-29.6)","HULL"
"342","Kevin Glancey","ROBERTSON",44,0,1998,"NSW","ON","6,940",9.2,NA,"GLANCEY"
"343","Jim Lloyd","ROBERTSON",0,1,1998,"NSW","Lib","32,963",43.9,"  (-02.9)","LLOYD"
"344","Andrew Penfold","ROBERTSON",0,0,1998,"NSW","AD","3,303",4.4,"  (-02.9)","PENFOLD"
"345","Ian McKenzie","ROBERTSON",0,0,1998,"NSW","Grn","1,598",2.1,NA,"MCKENZIE"
"346","Marie Ashburn","ROBERTSON",0,0,1998,"NSW","Unity",NA,0.5,NA,"ASHBURN"
"347","Belinda Neal","ROBERTSON",0,0,1998,"NSW","ALP","29,917",39.8,"  (+00.5)","NEAL"
"348","Rebecca Moroney","SHORTLAND",45,0,1998,"NSW","Grn","2,681",3.6,"  (-00.7)","MORONEY"
"349","Jill HALL","SHORTLAND",0,0,1998,"NSW","ALP","38,004",51.8,"  (+00.9)","HALL"
"350","Ivan Welsh","SHORTLAND",0,0,1998,"NSW",NA,"1,878",2.6,NA,"WELSH"
"351","Aysha Pollnitz","SHORTLAND",0,0,1998,"NSW","AD","2,605",3.5,"  (-03.4)","POLLNITZ"
"352","Ron Gardnir","SHORTLAND",0,0,1998,"NSW","ON","7,499",10.2,NA,"GARDNIR"
"353","Peter Craig","SHORTLAND",0,0,1998,"NSW","Lib","20,733",28.2,"  (-06.3)","CRAIG"
"354","Jenny Ryde","SYDNEY",46,0,1998,"NSW","Grn","4,683",6.2,"  (+00.4)","RYDE"
"355","Tanya PLIBERSEK","SYDNEY",0,0,1998,"NSW","ALP","38,920",51.6,"  (+03.2)","PLIBERSEK"
"356","John Percy","SYDNEY",0,0,1998,"NSW",NA,NA,0.7,NA,"PERCY"
"357","Warren Hensley","SYDNEY",0,0,1998,"NSW","ON","1,917",2.5,NA,"HENSLEY"
"358","Denis Doherty","SYDNEY",0,0,1998,"NSW",NA,NA,0.6,NA,"DOHERTY"
"359","Jenny Munro","SYDNEY",0,0,1998,"NSW",NA,NA,0.8,NA,"MUNRO"
"360","Anna Lunsmann","SYDNEY",0,0,1998,"NSW",NA,NA,0.7,NA,"LUNSMANN"
"361","Flavia Abdurahman","SYDNEY",0,0,1998,"NSW","Unity","1,676",2.2,NA,"ABDURAHMAN"
"362","Ben Hanson","SYDNEY",0,0,1998,"NSW","AD","5,092",6.7,"  (-02.0)","HANSON"
"363","Michael Lippmann","SYDNEY",0,0,1998,"NSW",NA,NA,0.2,NA,"LIPPMANN"
"364","Bruce Morrow","SYDNEY",0,0,1998,"NSW","Lib","20,899",27.7,"  (+00.1)","MORROW"
"365","Dan Orr","THROSBY",47,0,1998,"NSW","ON","8,267",11.4,NA,"ORR"
"366","Peter Stavropoulos","THROSBY",0,0,1998,"NSW",NA,NA,0.5,NA,"STAVROPOULOS"
"367","Ann Barry","THROSBY",0,0,1998,"NSW","AD","2,751",3.8,"  (-04.7)","BARRY"
"368","Karia Sperling","THROSBY",0,0,1998,"NSW","Grn","2,230",3.1,"  (-02.1)","SPERLING"
"369","Charlie Mifsud","THROSBY",0,0,1998,"NSW","Lib","12,538",17.3,"  (-04.4)","MIFSUD"
"370","Brian Hughes","THROSBY",0,0,1998,"NSW","CDP","1,949",2.7,"  (-01.2)","HUGHES"
"371","Colin HOLLIS","THROSBY",0,1,1998,"NSW","ALP","44,468",61.3,"  (+00.4)","HOLLIS"
"372","Hon Tony ABBOTT","WARRINGAH",48,1,1998,"NSW","Lib","39,753",55.5,"  (-02.2)","ABBOTT"
"373","Heath Johnstone","WARRINGAH",0,0,1998,"NSW","CDP",NA,1,NA,"JOHNSTONE"
"374","Julie Heraghty","WARRINGAH",0,0,1998,"NSW","ALP","19,730",27.5,"  (+00.9)","HERAGHTY"
"375","Janne Lindrum","WARRINGAH",0,0,1998,"NSW","ON","3,873",5.4,NA,"LINDRUM"
"376","Tony Allen","WARRINGAH",0,0,1998,"NSW",NA,NA,0.2,NA,"ALLEN"
"377","Brett Paterson","WARRINGAH",0,0,1998,"NSW","AD","4,271",6,"  (-00.8)","PATERSON"
"378","Keelah Lam","WARRINGAH",0,0,1998,"NSW","Grn","2,970",4.1,"  (-00.7)","LAM"
"379","Ines Judd","WARRINGAH",0,0,1998,"NSW",NA,NA,0.3,NA,"JUDD"
"380","Joe Rafferty","WATSON",49,0,1998,"NSW","Lib","19,461",26.9,"  (-06.5)","RAFFERTY"
"381","Murray Peterson","WATSON",0,0,1998,"NSW","CDP","1,176",1.6,"  (-02.0)","PETERSON"
"382","Zahir Abdurahman","WATSON",0,0,1998,"NSW","Unity","3,838",5.3,NA,"ABDURAHMAN"
"383","Claire Wright","WATSON",0,0,1998,"NSW","ON","3,392",4.7,NA,"WRIGHT"
"384","Caroline Toomey","WATSON",0,0,1998,"NSW","Grn","1,070",1.5,NA,"TOOMEY"
"385","Hon Leo McLEAY","WATSON",0,1,1998,"NSW","ALP","41,159",56.8,"  (+01.5)","MCLEAY"
"386","Amelia Gavagnin","WATSON",0,0,1998,"NSW","AD","2,309",3.2,"  (-04.7)","GAVAGNIN"
"387","Dezi Koster","WENTWORTH",50,0,1998,"NSW",NA,NA,0.6,NA,"KOSTER"
"388","Tom McLoughlin","WENTWORTH",0,0,1998,"NSW","Grn","3,592",4.9,"  (-01.0)","MCLOUGHLIN"
"389","Hon Andrew Thomson","WENTWORTH",0,1,1998,"NSW","Lib","36,348",49.8,"  (-02.2)","THOMSON"
"390","Margaret Collings","WENTWORTH",0,0,1998,"NSW","AD","4,470",6.1,"  (-02.5)","COLLINGS"
"391","Paul Pearce","WENTWORTH",0,0,1998,"NSW","ALP","24,198",33.1,"  (+01.3)","PEARCE"
"392","Alan Jacobs","WENTWORTH",0,0,1998,"NSW","Unity","1,978",2.7,NA,"JACOBS"
"393","Waverney Ford","WENTWORTH",0,0,1998,"NSW","ON","2,004",2.7,NA,"FORD"
"394","Andrew Thorn","WERRIWA",51,0,1998,"NSW","Lib","21,251",29,"  (-04.7)","THORN"
"395","James Cockayne","WERRIWA",0,0,1998,"NSW","AD","2,594",3.5,"  (-02.9)","COCKAYNE"
"396","Ibrahim Peck","WERRIWA",0,0,1998,"NSW","Unity","1,099",1.5,NA,"PECK"
"397","Mark LATHAM","WERRIWA",0,1,1998,"NSW","ALP","37,106",50.6,"  (+02.7)","LATHAM"
"398","John Hyslop","WERRIWA",0,0,1998,"NSW","ON","8,440",11.5,NA,"HYSLOP"
"399","Sharynne Freeman","WERRIWA",0,0,1998,"NSW",NA,"1,260",1.7,NA,"FREEMAN"
"400","Vicki Kearney","WERRIWA",0,0,1998,"NSW","Grn","1,605",2.2,NA,"KEARNEY"
